Date,Campaign,Campaign Type,Creative Format,Region,Country,Impressions,Clicks,CTR,Frequency,Reach,Spends,CPC,CPM,Views,Completion Rate,CPCV,CPS,Conversions,Revenue,ROAS,Viewability
7-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_HTML_GARDEN_Oct25,Awareness,HTML,Abu Dhabi,United Arab Emirates,"89,423",465,0.52%,2.88,"31,050",625.96,1.35,7,,,,,,,,90.62%
7-Oct-25,DanubeH_Awareness_RAK_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ras Al Khaimah,United Arab Emirates,"4,651",20,0.43%,2.91,"1,598",32.56,1.63,7,,,,,,,,91.11%
7-Oct-25,DanubeH_Awareness_Fujairah_Display-HTML_GARDEN_Oct25,Awareness,HTML,Fujairah,United Arab Emirates,"6,098",25,0.41%,2.89,"2,110",42.69,1.71,7,,,,,,,,89.15%
7-Oct-25,DanubeH_Awareness_UAQ-Display_HTML_GARDEN_Oct25,Awareness,HTML,Umm Al Quwain,United Arab Emirates,"4,474",17,0.38%,2.93,"1,527",31.32,1.84,7,,,,,,,,90.06%
7-Oct-25,DanubeH_Awareness_Ajman_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ajman,United Arab Emirates,"22,500",108,0.48%,2.96,"7,601",157.5,1.46,7,,,,,,,,91.94%
7-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Abu Dhabi,United Arab Emirates,"5,122",21,0.41%,2.98,"1,719",35.85,1.71,7,,,,,,,,89.76%
7-Oct-25,DanubeH_Awareness_RAK_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ras Al Khaimah,United Arab Emirates,0,0,0,#DIV/0!,0,0,0,0,,,,,,,,90.84%
7-Oct-25,DanubeH_Awareness_Fujairah_Display-CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Fujairah,United Arab Emirates,0,0,0,#DIV/0!,0,0,0,0,,,,,,,,89.83%
7-Oct-25,DanubeH_Awareness_UAQ-Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Umm Al Quwain,United Arab Emirates,0,0,0,#DIV/0!,0,0,0,0,,,,,,,,91.06%
7-Oct-25,DanubeH_Awareness_Ajman_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ajman,United Arab Emirates,"1,429",6,0.42%,2.97,481,10,1.67,7,,,,,,,,91.44%
8-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_HTML_GARDEN_Oct25,Awareness,HTML,Abu Dhabi,United Arab Emirates,"55,294",302,0.55%,2.96,"18,681",387.06,1.28,7,,,,,,,,89.75%
8-Oct-25,DanubeH_Awareness_RAK_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ras Al Khaimah,United Arab Emirates,"14,419",62,0.43%,2.96,"4,866",100.93,1.63,7,,,,,,,,90.19%
8-Oct-25,DanubeH_Awareness_Fujairah_Display-HTML_GARDEN_Oct25,Awareness,HTML,Fujairah,United Arab Emirates,"13,902",57,0.41%,3.01,"4,624",97.31,1.71,7,,,,,,,,91.13%
8-Oct-25,DanubeH_Awareness_UAQ-Display_HTML_GARDEN_Oct25,Awareness,HTML,Umm Al Quwain,United Arab Emirates,"7,894",30,0.38%,2.91,"2,709",55.26,1.84,7,,,,,,,,90.09%
8-Oct-25,DanubeH_Awareness_Ajman_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ajman,United Arab Emirates,"9,792",47,0.48%,3.03,"3,235",68.54,1.46,7,,,,,,,,91.38%
8-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Abu Dhabi,United Arab Emirates,"13,688",58,0.42%,2.99,"4,572",95.82,1.65,7,,,,,,,,91.48%
8-Oct-25,DanubeH_Awareness_RAK_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ras Al Khaimah,United Arab Emirates,769,3,0.39%,2.96,260,5.38,1.79,7,,,,,,,,90.94%
8-Oct-25,DanubeH_Awareness_Fujairah_Display-CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Fujairah,United Arab Emirates,"1,667",7,0.42%,2.93,569,11.67,1.67,7,,,,,,,,91.35%
8-Oct-25,DanubeH_Awareness_UAQ-Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Umm Al Quwain,United Arab Emirates,"1,000",4,0.40%,2.98,336,7,1.75,7,,,,,,,,91.03%
8-Oct-25,DanubeH_Awareness_Ajman_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ajman,United Arab Emirates,"2,524",11,0.44%,2.88,877,17.67,1.61,7,,,,,,,,90.15%
9-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_HTML_GARDEN_Oct25,Awareness,HTML,Abu Dhabi,United Arab Emirates,"62,690",353,0.56%,3.12,"20,103",438.83,1.24,7,,,,,,,,89.99%
9-Oct-25,DanubeH_Awareness_RAK_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ras Al Khaimah,United Arab Emirates,"5,116",22,0.43%,2.81,"1,819",35.81,1.63,7,,,,,,,,90.61%
9-Oct-25,DanubeH_Awareness_Fujairah_Display-HTML_GARDEN_Oct25,Awareness,HTML,Fujairah,United Arab Emirates,"8,810",39,0.44%,3.04,"2,901",61.67,1.58,7,,,,,,,,91.92%
