Month,Campaign,Format,Region,Impressions,Clicks,Spend,Reach
2025-10,Awareness,HTML,Abu Dhabi,89423,465,625.96,31050
2025-10,Awareness,HTML,Ras Al Khaimah,4651,20,32.56,1598
2025-10,Awareness,HTML,Fujairah,6098,25,42.69,2110
2025-10,Awareness,HTML,Umm Al Quwain,4474,17,31.32,1527
2025-10,Awareness,HTML,Ajman,22500,108,157.5,7601
2025-10,Awareness,Carousel,Abu Dhabi,5122,21,35.85,1719
2025-10,Eid Sale,HTML,Dubai,150000,750,1200,50000
2025-10,Eid Sale,Carousel,Dubai,80000,400,640,27000
2025-11,Awareness,HTML,Abu Dhabi,95000,480,660,33000
2025-11,Awareness,HTML,Dubai,120000,600,840,42000
